query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual	distinctDocs5	distinctDocs10	sameDocRuns10	axis	domain	type
q-031	0.7487	1.0000	1.0000	1.0000			0.5000	0.6000	0.4000	1.0000	0.6458	0.7500	0.5441	5			rare-technical-token		
q-032	0.6131	0.5000	1.0000	1.0000			1.0000	0.2000	0.1000	0.0000	0.5588	0.5000	0.7944	5	10	10	rare-technical-token		
q-033	0.2346	0.3333	0.3333	0.3333			0.3333	0.2000	0.1000	0.0000	0.1111	0.3333	0.8720	5	10	10	synonym		
q-034	0.0000	0.0000	0.0000	1.0000			0.0000	0.0000	0.0000	0.0000	0.0294	0.0000	0.9999	5	10	10	synonym		
q-035	0.3010	1.0000	1.0000	1.0000			0.1111	0.0000	0.1000	1.0000	0.1111	0.0000	0.9664	5	10	10	synonym		
q-036	0.1846	0.5000	1.0000	1.0000			0.1111	0.0000	0.1000	0.0000	0.1222	0.0000	0.9576	5	10	10	synonym		
q-037	0.0000	0.0000	0.0000	0.5000			0.0000	0.0000	0.0000	0.0000	0.0132	0.0000	0.9999	5	10	10	synonym		
q-038	0.4693	0.3333	0.3333	0.3333			1.0000	0.2000	0.1000	0.0000	0.3333	0.3333	0.8000	5	10	10	synonym		
q-039	0.3836	0.6667	0.6667	1.0000			0.2500	0.4000	0.2000	0.0000	0.2643	0.0000	0.8134	5	10	10	domain-filtered	runner	
q-040	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000	5	10	10	domain-filtered	runner	
q-041	0.4693	0.3333	0.3333	1.0000			1.0000	0.2000	0.1000	0.0000	0.3687	0.3333	0.7999	5	10	10	domain-filtered	standards	
q-042	0.7845	1.0000	1.0000	1.0000			1.0000	0.2000	0.3000	1.0000	0.5694	0.3333	0.6925	5	10	10	domain-filtered	standards	
q-043	0.4693	0.3333	0.3333	1.0000			1.0000	0.2000	0.1000	0.0000	0.3533	0.3333	0.8000	5	10	10	domain-filtered	adr	
q-044	0.4693	0.3333	0.3333	1.0000			1.0000	0.2000	0.1000	0.0000	0.3648	0.3333	0.8000	5	10	10	domain-filtered	adr	
q-045	0.4966	0.6000	0.8000	1.0000			0.5000	0.4000	0.3000	0.0000	0.3906	0.4000	0.6508	5	10	10	production-shaped-long-form		
q-046	0.2591	0.3333	0.3333	0.8333			0.3333	0.2000	0.2000	0.0000	0.1628	0.3333	0.8050	5	10	10	production-shaped-long-form		
q-047	0.5326	0.6250	0.7500	1.0000			0.5000	0.6000	0.5000	0.0000	0.4613	0.5000	0.5419	5	10	10	production-shaped-long-form		
q-048	0.5215	0.3750	0.3750	0.5000			1.0000	0.6000	0.3000	0.0000	0.3512	0.3750	0.5376	5	10	10	production-shaped-long-form		
q-049	0.9512	1.0000	1.0000	1.0000			1.0000	0.8000	0.5000	1.0000	0.8767	0.8000	0.3901	5	10	10	production-shaped-long-form		
q-050	0.4125	0.2500	0.6250	0.7500			1.0000	0.4000	0.2000	0.0000	0.3895	0.2500	0.5993	5	10	10	production-shaped-long-form		
q-051	0.1763	0.1429	0.1429	0.2143			0.3333	0.2000	0.2000	0.0000	0.0490	0.1429	0.8370	5	10	10	multi-word-phrase		
q-052	0.1672	0.3333	0.3333	1.0000			0.1667	0.0000	0.1000	0.0000	0.1115	0.0000	0.9337	5	10	10	multi-word-phrase		
q-053	0.0731	0.1250	0.2500	0.2500			0.1000	0.0000	0.1000	0.0000	0.0333	0.0000	0.9560	5	10	10	multi-word-phrase		
q-054	0.5912	1.0000	1.0000	1.0000			0.5000	0.2000	0.2000	1.0000	0.3929	0.5000	0.7876	5	10	10	multi-word-phrase		
q-055	0.2087	0.3333	0.3333	1.0000			0.1667	0.0000	0.2000	0.0000	0.1497	0.1667	0.8816	5	10	10	multi-word-phrase		
q-056	0.3511	0.1563	0.4063	0.9688			0.1667	0.0000	0.5000	0.0000	0.5681	0.6875	0.6857	5	10	10	production-shaped-long-form		
q-057	0.3380	0.0714	0.1071	0.2500			0.3333	0.4000	0.4000	0.0000	0.0665	0.1607	0.6829	5	10	10	production-shaped-long-form		
q-058	0.3590	0.0833	0.0833	0.3333			1.0000	0.4000	0.2000	0.0000	0.1051	0.0833	0.6400	5	10	10	production-shaped-long-form		
q-059	0.4351	0.1111	0.2500	0.8056			1.0000	0.4000	0.4000	0.0000	0.3646	0.4167	0.6075	5	10	10	production-shaped-long-form		
q-060	0.4351	0.1111	0.2500	0.8056			1.0000	0.4000	0.4000	0.0000	0.3646	0.4167	0.6075	5	10	10	production-shaped-long-form		adr
