query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual	distinctDocs5	distinctDocs10	sameDocRuns10	axis	domain	type
q-046	0.3901	0.3333	0.6667	0.8333			1.0000	0.2000	0.2000	0.0000	0.2992	0.1667	0.7601	5	10	10	production-shaped-long-form		
q-047	0.3519	0.5000	0.8750	1.0000			0.2500	0.2000	0.4000	0.0000	0.3639	0.3750	0.7274	5	10	10	production-shaped-long-form		
q-048	0.6058	0.5000	0.5000	0.5000			1.0000	0.6000	0.4000	0.0000	0.4152	0.5000	0.4852	5	10	10	production-shaped-long-form		
q-049	0.9068	1.0000	1.0000	1.0000			1.0000	0.8000	0.5000	1.0000	0.8100	0.8000	0.4221	5	10	10	production-shaped-long-form		
q-050	0.6058	0.5000	0.6250	0.7500			1.0000	0.6000	0.4000	0.0000	0.4985	0.5000	0.4668	5	10	10	production-shaped-long-form		
q-051	0.3152	0.2143	0.2143	0.2143			0.5000	0.4000	0.3000	0.0000	0.1071	0.2143	0.6784	5	10	10	multi-word-phrase		
q-052	0.0000	0.0000	0.0000	1.0000			0.0000	0.0000	0.0000	0.0000	0.0404	0.0000	0.9995	5	10	10	multi-word-phrase		
q-053	0.2439	0.2500	0.2500	0.2500			0.5000	0.2000	0.2000	0.0000	0.0982	0.2500	0.7876	5	10	10	multi-word-phrase		
q-054	0.5000	1.0000	1.0000	1.0000			0.3333	0.2000	0.2000	1.0000	0.2917	0.0000	0.8301	5	10	10	multi-word-phrase		
q-055	0.5494	0.5000	0.5000	1.0000			1.0000	0.4000	0.3000	0.0000	0.4049	0.3333	0.6295	5	10	10	multi-word-phrase		
q-056	0.3511	0.1563	0.3125	0.9688			0.1667	0.0000	0.5000	0.0000	0.4925	0.5313	0.7149	5	10	10	production-shaped-long-form		
q-057	0.4865	0.1071	0.1607	0.2500			0.3333	0.4000	0.6000	0.0000	0.1181	0.2500	0.5624	5	10	10	production-shaped-long-form		
q-058	0.2583	0.1250	0.2083	0.3333			0.2500	0.4000	0.3000	0.0000	0.0943	0.2500	0.7332	5	10	10	production-shaped-long-form		
q-059	0.2337	0.0556	0.2222	0.8056			0.5000	0.4000	0.2000	0.0000	0.3758	0.4722	0.6609	5	10	10	production-shaped-long-form		
q-060	0.2337	0.0556	0.2222	0.8056			0.5000	0.4000	0.2000	0.0000	0.3758	0.4722	0.6609	5	10	10	production-shaped-long-form		adr
